Date,Name,Division,Match Points,Match Percentage,Category
2025-05-28,"De Gouveia, Roberto",PO,230.0,100.0,
2025-05-28,"Plein, Noah",P,225.5229,98.0534,
2025-05-28,"Goncalves, Francisco",PO,218.2286,94.882,
2025-05-28,"De Gouveia, Roberto (P)",P,180.665,78.55,
2025-05-28,"Moolman, Adrian",P,173.7252,75.5327,
2025-05-28,"Ngcobo, Thabo",PO,173.1522,75.2836,
2025-05-28,"Plein, Aubrey",C,157.4866,68.4724,
2025-05-28,"Bishop, Mark",PO,148.0664,64.3767,
2025-05-28,"Mthembu, Jacob",P,143.0151,62.1805,
2025-05-28,"Smith, Sheldon",PO,141.5422,61.5401,
2025-05-28,"Naidoo, Saven",S,139.0243,60.4453,
2025-05-28,"Goncalves, Rory",PCCO,135.4517,58.892,
2025-05-28,"Morris, Bevan",O,129.2608,56.2003,Maj
2025-05-28,"Chamont, Brad",S,124.3933,54.084,
2025-05-28,"Bishop, Steven",P,122.9712,53.4657,
2025-05-28,"Bolton, Dayne",PO,121.6158,52.8764,
2025-05-28,"Ferreira, Johan",P,115.1451,50.0631,
2025-05-28,"Mj, Mj",P,112.8129,49.0491,
2025-05-28,"Ditsela, Richard",P,105.4717,45.8573,
2025-05-28,"Sukazi, Lindelihle",PO,102.8565,44.7202,
2025-05-28,"Bolton, Blake",P,100.6055,43.7415,
2025-05-28,"Dodge, Dave",P,98.2443,42.7149,
2025-05-28,"X, Zuluboy",P,97.1099,42.2217,
2025-05-28,"Gerin, Pino",PO,97.0305,42.1872,
2025-05-28,"Msibi, Jabulani",P,93.9295,40.8389,
2025-05-28,"Goncalves, Rory",PO,90.7532,39.4579,
2025-05-28,"Benecke, Sheldon",P,84.6616,36.8094,
2025-05-28,"Phaedi, Tiiso",O,80.2526,34.8924,
2025-05-28,"Dias-Chamont, Talia",S,74.2581,32.2861,Lady
2025-05-28,"Miller, Glen",P,51.0359,22.1895,
2025-05-28,"Du Plooy, Dewald",PO,50.8423,22.1053,
2025-05-28,"Goncalves, Cayla",P,49.4771,21.5118,Lady
2025-05-28,"Masike, Tebogo",P,22.4927,9.7794,
2025-05-28,"Masondo, Musawenkosi",P,15.2514,6.631,
2025-05-28,"Coetzee, Desmond",P,14.1655,6.1589,
2025-05-28,"Shongwe, Sipho",P,0.0,0.0,
2025-06-04,"Moolman, Adrian 2",P,212.8275,100.0,
2025-06-04,"Plein, Noah",P,204.3603,96.0216,
2025-06-04,"Goncalves, Francisco",PO,203.5448,95.6384,
2025-06-04,"De Gouveia, Roberto",PO,196.3811,92.2724,
2025-06-04,"Da Cruz, David",PCCO,186.5438,87.6502,
2025-06-04,"De Gouveia, Michael",PO,174.0505,81.7801,
2025-06-04,"Ngcobo, Thabo",PO,168.4086,79.1292,
2025-06-04,"Gxagxa, Muzi 2",P,160.6298,75.4742,
2025-06-04,"Knox, Nobby",P,156.5768,73.5698,
2025-06-04,"Naidoo, Saven 2",S,155.117,72.8839,
2025-06-04,"Moolman, Adrian",P,148.4587,69.7554,
2025-06-04,"Seeger, Michael",P,140.4485,65.9917,
2025-06-04,"Chamont, Brad",S,138.2755,64.9707,
2025-06-04,"Gxagxa, Muzi",P,135.7355,63.7772,
2025-06-04,"Plein, Aubrey",C,135.2162,63.5332,
2025-06-04,"Goncalves, Rory",PCCO,128.2922,60.2799,
2025-06-04,"Bishop, Mark",PO,124.838,58.6569,
2025-06-04,"Bishop, Steven",P,119.9571,56.3635,
2025-06-04,"Truter, Bernard",P,117.3391,55.1334,
2025-06-04,"Benecke, Sheldon",P,114.8743,53.9753,
2025-06-04,"Du Plooy, Dewald",PO,113.8762,53.5063,
2025-06-04,"Smith, Gert",P,108.7304,51.0885,
2025-06-04,"Titizana, Zanemvula",PO,104.7723,49.2287,
2025-06-04,"Knoetze, Luan",P,98.1419,46.1134,
2025-06-04,"Naidoo, Saven",S,95.7545,44.9916,
2025-06-04,"Dias-Chamont, Talia",S,88.3416,41.5085,Lady
2025-06-04,"Titizana, Zanemvula",P,84.9016,39.8922,
2025-06-04,"Saks, Eli",P,79.0846,37.159,
2025-06-04,"Levinrad, Dayne",P,65.1359,30.605,
2025-06-04,"Moolman, Adrian (Left Hand)",P,64.5884,30.3478,
2025-06-04,"Msibi, Jabulani",P,60.8078,28.5714,
2025-06-04,"Basson, Melanie",O,56.7323,26.6565,Lady
2025-06-04,"Levinrad, Dayne 2",P,54.1444,25.4405,
2025-06-04,"Masike, Tebogo",P,48.1611,22.6292,
2025-06-04,"Gittins, Ashley",P,43.2787,20.3351,
2025-06-04,"Coetzee, Desmond",P,38.884,18.2702,
2025-06-04,"Dercksen, Deon",P,30.2283,14.2032,
2025-06-04,"Hume, Sarah",P,29.8616,14.0309,
2025-06-04,"Khan, Mahomad",P,18.9174,8.8886,
2025-06-04,"Rahman, Aqeel",P,18.6348,8.7558,
2025-06-04,"Gittins, Bianca",P,18.5568,8.7192,Lady
2025-06-04,"Mphahlele, Ramzie",P,0.0,0.0,
